iter	Passed	Remaining
0	1	102
1	1	94
2	2	87
3	3	83
4	4	79
5	5	78
6	5	76
7	6	75
8	7	73
9	8	72
10	8	71
11	9	70
12	10	69
13	11	68
14	11	67
15	12	66
16	13	64
17	14	64
18	14	63
19	15	62
20	16	62
21	17	61
22	17	60
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	26	50
34	27	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	46
40	31	45
41	31	43
42	32	43
43	33	42
44	33	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	43	31
58	43	30
59	44	29
60	45	28
61	46	28
62	46	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	54	21
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
